scene_id,scene_title,character_id,display_name,state,recommended_asset,camera
ch1-s01,SCENE 1. 여섯 사람이 있던 집,jack_america,아메리카의 잭,healthy,america_jack_healthy.webp,slow-in
ch1-s01,SCENE 1. 여섯 사람이 있던 집,father,아버지,healthy,ch1_father_healthy.webp,slow-in
ch1-s01,SCENE 1. 여섯 사람이 있던 집,mother_ch1,어머니,healthy,ch1_mother_healthy.webp,slow-in
ch1-s01,SCENE 1. 여섯 사람이 있던 집,sister,여동생,healthy,ch1_sister_healthy.webp,slow-in
ch1-s01,SCENE 1. 여섯 사람이 있던 집,brother1,첫째 남동생,healthy,ch1_brother1_healthy.webp,slow-in
ch1-s01,SCENE 1. 여섯 사람이 있던 집,youngest,막내,healthy,ch1_youngest_healthy.webp,slow-in
ch1-s02,SCENE 2. 처음에는 은을 요구했다,jack_america,아메리카의 잭,alert,america_jack_alert.webp,pan-right
ch1-s02,SCENE 2. 처음에는 은을 요구했다,interpreter,통역,neutral,ch1_interpreter_neutral.webp,pan-right
ch1-s02,SCENE 2. 처음에는 은을 요구했다,elder_ch1,마을 어른,worried,ch1_elder_worried.webp,pan-right
ch1-s03,SCENE 3. 명단에 가족의 이름이 올라가다,jack_america,아메리카의 잭,shaken,america_jack_shaken.webp,slow-in
ch1-s03,SCENE 3. 명단에 가족의 이름이 올라가다,father,아버지,tense,ch1_father_tense.webp,slow-in
ch1-s03,SCENE 3. 명단에 가족의 이름이 올라가다,mother_ch1,어머니,worried,ch1_mother_worried.webp,slow-in
ch1-s03,SCENE 3. 명단에 가족의 이름이 올라가다,sister,여동생,afraid,ch1_sister_afraid.webp,slow-in
ch1-s03,SCENE 3. 명단에 가족의 이름이 올라가다,brother1,첫째 남동생,determined,ch1_brother1_determined.webp,slow-in
ch1-s04,SCENE 4. 은광과 플랜테이션,jack_america,아메리카의 잭,laboring,america_jack_laboring.webp,pan-left
ch1-s04,SCENE 4. 은광과 플랜테이션,carrier,운반꾼,tired,ch1_carrier_tired.webp,pan-left
ch1-s05,SCENE 5. 겨우 닿는 소식,jack_america,아메리카의 잭,tired,america_jack_tired.webp,slow-out
ch1-s05,SCENE 5. 겨우 닿는 소식,carrier,운반꾼,tired,ch1_carrier_tired.webp,slow-out
ch1-s05,SCENE 5. 겨우 닿는 소식,sister,여동생,tired,ch1_sister_tired.webp,slow-out
ch1-s05,SCENE 5. 겨우 닿는 소식,brother1,첫째 남동생,tired,ch1_brother1_tired.webp,slow-out
ch1-s06,SCENE 6. 은은 쌓이고 사람은 지친다,jack_america,아메리카의 잭,exhausted,america_jack_exhausted.webp,slow-in
ch1-s06,SCENE 6. 은은 쌓이고 사람은 지친다,coworker_ch1,동료,exhausted,ch1_coworker_exhausted.webp,slow-in
ch1-s07,SCENE 7. 열이 오르다,jack_america,아메리카의 잭,sick,america_jack_sick.webp,slow-in
ch1-s07,SCENE 7. 열이 오르다,coworker_ch1,동료,worried,ch1_coworker_worried.webp,slow-in
ch1-s07,SCENE 7. 열이 오르다,supervisor_ch1,감독,cold,ch1_supervisor_cold.webp,slow-in
ch1-s08,SCENE 8. 가족의 소식도 하나씩 끊기다,jack_america,아메리카의 잭,weakened,america_jack_weakened.webp,slow-out
ch1-s08,SCENE 8. 가족의 소식도 하나씩 끊기다,carrier,운반꾼,somber,ch1_carrier_somber.webp,slow-out
ch1-s09,SCENE 9. 마지막 밤,jack_america,아메리카의 잭,critical,america_jack_critical.webp,slow-in
ch1-s09,SCENE 9. 마지막 밤,coworker_ch1,동료,sad,ch1_coworker_sad.webp,slow-in
ch1-end,CHAPTER 1 END. 사람이 사라진 자리,manager,관리인,worried,ch1_manager_worried.webp,pan-right
ch2-s01,SCENE 1. 마을의 전사,jack_africa,아프리카의 잭,warrior,africa_jack_warrior.webp,slow-in
ch2-s01,SCENE 1. 마을의 전사,lover,연인,healthy,ch2_lover_healthy.webp,slow-in
ch2-s01,SCENE 1. 마을의 전사,friend,친구,healthy,ch2_friend_healthy.webp,slow-in
ch2-s01,SCENE 1. 마을의 전사,child_ch2,어린 부족원,healthy,ch2_child_healthy.webp,slow-in
ch2-s02,SCENE 2. 총이 들어온 뒤,jack_africa,아프리카의 잭,warrior,africa_jack_warrior.webp,pan-left
ch2-s02,SCENE 2. 총이 들어온 뒤,elder_ch2,부족의 어른,worried,ch2_elder_worried.webp,pan-left
ch2-s03,SCENE 3. 습격,jack_africa,아프리카의 잭,captured,africa_jack_captured.webp,shake-soft
ch2-s03,SCENE 3. 습격,friend,친구,panicked,ch2_friend_panicked.webp,shake-soft
ch2-s04,SCENE 4. 해안으로 가는 길,jack_africa,아프리카의 잭,bound,africa_jack_bound.webp,pan-right
ch2-s04,SCENE 4. 해안으로 가는 길,child_ch2,어린 부족원,tired,ch2_child_tired.webp,pan-right
ch2-s04,SCENE 4. 해안으로 가는 길,friend,친구,tired,ch2_friend_tired.webp,pan-right
ch2-s05,SCENE 5. 해안 집결지 - 이름이 숫자가 되다,jack_africa,아프리카의 잭,exhausted,africa_jack_exhausted.webp,slow-in
ch2-s05,SCENE 5. 해안 집결지 - 이름이 숫자가 되다,euro_trader,유럽 상인,cold,ch2_euro_trader_cold.webp,slow-in
